,No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
0,308.0,1444.0,$34,DEKRA SAFETY & EMISSIONS,865 S STATE ST,SALT LAKE CITY,84111.0,801-433-5000,35,0,Na,Na,TestOnly,Na
1,59.0,580.0,$36,MARK MILLER SUBARU,3535 SO STATE ST,SALT LAKE CITY,84115.0,801-268-3734,35,0,Yes,11,TestAndRepair,Na
2,10.0,73.0,$37,THE LITTLE GARAGE,1161 SOUTH 300 WEST,SALT LAKE CITY,84101.0,801- 466-1161,40,0,No,Na,TestAndRepair,Na
3,398.0,1574.0,$42,BIG O TIRES,3557 S 5600 W,WEST VALLEY CITY,84120.0,801-967-6404,40,0,No,,TestAndRepair,Na
4,76.0,805.0,$31,LARRY H. MILLER HONDA,5808 SOUTH STATE,MURRAY,84107.0,801-268-5599,30,0,No,Na,TestAndRepair,Na
5,128.0,1061.0,$30,BIG O TIRES,2830 W 3500 S,WEST VALLEY CITY,84119.0,801-967-7166,30,0,Yes,10,TestAndRepair,Na
6,54.0,537.0,$32,JEFFREY P. DAVIS AUTO,4707 SO COMMERCE DR,MURRAY,84107.0,801-263-2002,32,0,Yes,7,TestAndRepair,Na
7,102.0,981.0,$41,JIFFY LUBE NO.1147,1735 WEST 9000 SOUTH,WEST JORDAN,84088.0,801-566-4075,39,0,No,Na,TestAndRepair,less than 3hr labor
8,229.0,1285.0,$40,JIFFY LUBE No.14,1850 W 4100 SO,WEST VALLEY,84119.0,801-972-3455,39,0,Yes,10,TestAndRepair,Na
9,425.0,1601.0,$50,VALVOLINE INSTANT OIL,1065 E 9400 S,SANDY,84094.0,801-566-5188,50,0,No,,TestAndRepair,Na
10,111.0,994.0,$38,JIFFY LUBE NO.2525,1625 W. 12600 So.,RIVERTON,84065.0,801-446-1315,39,0,Yes,10,TestAndRepair,coupons may apply
11,11.0,96.0,$27,NATE WADE SUBARU,1207 SOUTH MAIN ST.,SALT LAKE CITY,84111.0,888-654-7340,25,0,No,Na,TestAndRepair,Na
12,270.0,1361.0,$40,JEANNETTE AUTO REPAIR,4091 SO STATE ST BLDG B,SALT LAKE CITY,84107.0,801-262-2065,25,3,Yes,Na,TestAndRepair,Na
13,149.0,1109.0,$28,FIRESTONE TIRE & SERVICE,910 E. 6600 S.,MURRAY,84121.0,801-207-9496,27.5,0,Yes,10,TestAndRepair,Na
14,248.0,1320.0,$41,GOOD LOOKING DAVES INC,4580 S 300 W,MURRAY,84107.0,801-266-2229,40,0,No,Na,TestAndRepair,Na
15,394.0,1570.0,$35,LHM USED CAR SUPERMARKET,200 W 9000 S,SANDY,84070.0,801-553-5350,35,0,No,,TestAndRepair,Na
16,278.0,1376.0,$37,EMISSION TIME,32 E 9000 S,SANDY,84070.0,801-948-4048,35,0,Yes,Na,TestAndRepair,Na
17,243.0,1313.0,$36,BIG O TIRE,8835 S 700 E,SANDY,84070.0,801-566-1177,35,0,Yes,10,TestAndRepair,Na
18,27.0,214.0,$28,THOMAS TIRE CENTER,3555 SOUTH 3600 WEST,WEST VALLEY CITY,84119.0,801-969-3555,25,0,Yes,10,TestAndRepair,Na
19,428.0,4014.0,$93,UNITED DIESEL SERVICE INC,1905 SO PIONEER RD,SALT LAKE CITY,84104.0,801-972-2378,93,0,No,,TestAndRepair,Na
